index,genres,homepage,id,keywords,original_language,popularity,release_year,title,cast,director
1196,Drama Mystery Thriller,http://wwws.warnerbros.de/theprestige/,1124,competition secret obsession magic dying and death,en,74.440708,2006,The Prestige,Hugh Jackman Christian Bale Michael Caine Scarlett Johansson Andy Serkis,Christopher Nolan
1197,Comedy,,227159,prison kidnapping sequel car chase sex addict,en,82.185281,2014,Horrible Bosses 2,Jason Bateman Jason Sudeikis Charlie Day Jennifer Aniston Kevin Spacey,Sean Anders
1198,Animation Comedy Adventure Family Science Fiction,http://www.escapeearthmovie.com/,68179,spaceship alien rescue escape planet,en,18.14218,2013,Escape from Planet Earth,Brendan Fraser Rob Corddry Ricky Gervais Jessica Alba Sarah Jessica Parker,Callan Brunker
1199,Action Adventure Drama Thriller,,1579,loss of family solar eclipse slavery jaguar village,en,41.570047,2006,Apocalypto,Rudy Youngblood Raoul Max Trujillo Gerardo Taracena Iazua Larios Antonio Monroy,Mel Gibson
1200,Action Adventure Thriller,http://www.mgm.com/view/movie/1132/The-Living-Daylights/,708,london england smuggling of arms prison england assassination,en,23.331459,1987,The Living Daylights,Timothy Dalton Maryam d'Abo Jeroen Krabb\u00e9 Joe Don Baker John Rhys-Davies,John Glen
1201,Action Science Fiction Adventure Thriller,,34851,hunter predator yakuza hunting human beings alien life-form,en,47.649554,2010,Predators,Topher Grace Alice Braga Laurence Fishburne Adrien Brody Danny Trejo,Nimr\u00f3d Antal
1202,Comedy Crime Drama Romance Thriller,,9930,court case client lawyer courtroom,en,7.519433,1986,Legal Eagles,Robert Redford Debra Winger Daryl Hannah Brian Dennehy Terence Stamp,Ivan Reitman
1203,Thriller Mystery,,1586,alcohol adultery detective mississippi jealousy,en,32.908414,2004,Secret Window,Johnny Depp John Turturro Timothy Hutton Charles S. Dutton Len Cariou,David Koepp
1204,Romance Drama Mystery,http://wwws.warnerbros.de/thelakehouse/,2044,chicago writing architect future time,en,29.88736,2006,The Lake House,Keanu Reeves Sandra Bullock Shohreh Aghdashloo Christopher Plummer Ebon Moss-Bachrach,Alejandro Agresti
1205,Drama Horror Mystery Thriller,,9913,nurse secret dream fight kidnapping,en,29.105407,2005,The Skeleton Key,Kate Hudson Gena Rowlands Peter Sarsgaard John Hurt Joy Bryant,Iain Softley
1206,Fantasy Drama Comedy Family,http://disney.go.com/disneypictures/the-odd-life-of-timothy-green/,71864,green dodgeball incredibile timothy,en,16.394452,2012,The Odd Life of Timothy Green,Jennifer Garner Joel Edgerton Ron Livingston Rosemarie DeWitt CJ Adams,Peter Hedges
1207,Comedy Romance,,10761,scotland love of one's life ladykiller one-night stand bridesmaid,en,19.574774,2008,Made of Honor,Patrick Dempsey Michelle Monaghan Kevin McKidd Chris Messina Richmond Arquette,Paul Weiland
1208,Music Drama,,209451,biography based on play,en,14.199933,2014,Jersey Boys,Christopher Walken Vincent Piazza Freya Tingley James Madio Sean Whalen,Clint Eastwood
1209,Drama Crime Thriller,,11975,jurors proof court case leukemia lawyer,en,12.229516,1997,The Rainmaker,Matt Damon Danny DeVito Jon Voight Claire Danes Mary Kay Place,Francis Ford Coppola
1210,Horror Thriller,http://gothikamovie.warnerbros.com/,4970,amnesia mental institution patient trust false accusations,en,27.303608,2003,Gothika,Halle Berry Robert Downey Jr. Charles S. Dutton Pen\u00e9lope Cruz John Carroll Lynch,Mathieu Kassovitz
1211,Drama History Mystery,,11831,cuba mutiny slavery sentence historical figure,en,3.698276,1997,Amistad,Morgan Freeman Nigel Hawthorne Anthony Hopkins Djimon Hounsou Matthew McConaughey,Steven Spielberg
1212,Adventure,,9096,medicine ant research amazon cancer,en,7.021871,1992,Medicine Man,Sean Connery Lorraine Bracco Jos\u00e9 Wilker Rodolfo De Alexandre Angelo Barra Moreira,John McTiernan
1213,Fantasy Action Science Fiction Thriller Horror,http://www.avp-r.com/,440,predator national guard hybrid alien morgue,en,39.381913,2007,Aliens vs Predator: Requiem,Steven Pasquale Reiko Aylesworth John Ortiz Ariel Gade Sam Trammell,Colin Strause
1214,Comedy Family,,11011,family life raft private plane toothbrush gluttony,en,14.398356,1994,Ri¢hie Ri¢h,Macaulay Culkin John Larroquette Edward Herrmann Christine Ebersole Michael Maccarone,Donald Petrie
1215,Drama Romance,,10641,new love love of one's life unexpected happiness dying and death success,en,8.680334,2000,Autumn in New York,Richard Gere Winona Ryder Anthony LaPaglia Elaine Stritch Vera Farmiga,Joan Chen
1216,Comedy Music Romance,,11172,pop star song romantic comedy song writing piano,en,17.659032,2007,Music and Lyrics,Drew Barrymore Hugh Grant Scott Porter Brad Garrett Haley Bennett,Marc Lawrence
1217,Adventure Comedy Science Fiction,http://paulthemovie.co.uk/,39513,san diego area 51 alien space craft hit with a chair shot in the knee,en,43.151268,2011,Paul,Seth Rogen Simon Pegg Nick Frost Jason Bateman Kristen Wiig,Greg Mottola
1218,Comedy,,82687,inventor road trip guilt mother son relationship woman director,en,15.283444,2012,The Guilt Trip,Seth Rogen Barbra Streisand Yvonne Strahovski Colin Hanks Adam Scott,Anne Fletcher
1219,Horror Mystery,http://www.scream-4.com/,41446,sheriff book knife horror rescue,en,35.21926,2011,Scream 4,David Arquette Neve Campbell Courteney Cox Emma Roberts Hayden Panettiere,Wes Craven
1220,Thriller Crime Mystery,,8224,pornography porn actor loss of daughter child pornography private investigator,en,25.580272,1999,8MM,Nicolas Cage Joaquin Phoenix James Gandolfini Chris Bauer Anthony Heald,Joel Schumacher
1221,Drama Music,,10537,hippie poetry sex rock and roll nudity,en,10.794175,1991,The Doors,Val Kilmer Meg Ryan Kyle MacLachlan Frank Whaley Kevin Dillon,Oliver Stone
1222,Comedy,,225886,marriage internet relationship family sex tape,en,72.641296,2014,Sex Tape,Cameron Diaz Jason Segel Rob Corddry Ellie Kemper Rob Lowe,Jake Kasdan
1223,Comedy Drama,,10385,sister sister relationship cheating amnesia crisis line telephone,en,3.415534,2000,Hanging Up,Meg Ryan Diane Keaton Lisa Kudrow Walter Matthau Adam Arkin,Diane Keaton
1224,Horror Mystery,http://finaldestinationmovie.warnerbros.com/index.html,55779,premonition death by accident crash end is here duringcreditsstinger,en,38.555482,2011,Final Destination 5,Emma Bell Nicholas D'Agosto Miles Fisher Ellen Wroe Jacqueline MacInnes Wood,Steven Quale
1225,Comedy Crime Romance,,10154,new york marriage proposal fbi mafia boss mafia,en,6.786117,1999,Mickey Blue Eyes,Hugh Grant James Caan Jeanne Tripplehorn Burt Young James Fox,Kelly Makin
1226,Drama Romance,,10647,child's point of view candlelight vigil good deed exotic dancer schoolteacher,en,24.313684,2000,Pay It Forward,Kevin Spacey Helen Hunt Haley Joel Osment Jay Mohr Jim Caviezel,Mimi Leder
1227,Comedy Drama Romance,,11431,baseball fanatic relationship problems sport teacher,en,9.965073,2005,Fever Pitch,Drew Barrymore Jimmy Fallon Jason Spevack Jack Kehler Maureen Keiller,Bobby Farrelly
1228,Comedy,http://www.drillbittaylor.com/,8457,prison jealousy homeless person beach parents kids relationship,en,15.055732,2008,Drillbit Taylor,Owen Wilson Leslie Mann Josh Peck David Dorfman Nate Hartley,Steven Brill
1229,Comedy Western,,188161,gunslinger farmer wild west laxative,en,32.808675,2014,A Million Ways to Die in the West,Seth MacFarlane Charlize Theron Liam Neeson Amanda Seyfried Neil Patrick Harris,Seth MacFarlane
1230,Adventure Fantasy Action Thriller Science Fiction,,8850,new york atomic bomb ladykiller hypnosis superhero,en,8.178203,1994,The Shadow,Alec Baldwin John Lone Penelope Ann Miller Peter Boyle Ian McKellen,Russell Mulcahy
1231,Drama,http://extremelyloudandincrediblyclose.warnerbros.com/,64685,based on novel autism key scavenger hunt death of father,en,31.066874,2011,Extremely Loud & Incredibly Close,Thomas Horn Tom Hanks Sandra Bullock Max von Sydow John Goodman,Stephen Daldry
1232,Comedy Drama Romance,http://www.morningglorymovie.com/,38357,work ethic tv morning show tv reporter,en,22.491388,2010,Morning Glory,Rachel McAdams Harrison Ford Patrick Wilson Jeff Goldblum Diane Keaton,Roger Michell
1233,Drama,,10060,loss of mother attempted murder career musical rapper,en,12.885985,2005,Get Rich or Die Tryin',50 Cent Joy Bryant Adewale Akinnuoye-Agbaje Omar Benson Miller Terrence Howard,Jim Sheridan
1234,Crime Action Adventure,,11398,china chinese woman secret agent conspiracy of murder united nations,en,7.832337,2000,The Art of War,Wesley Snipes Donald Sutherland Maury Chaykin Anne Archer Michael Biehn,Christian Duguay
1235,Drama Romance,http://www.sonypictures.com/movies/rent/,1833,gay sex aids musical hiv,en,10.433667,2005,Rent,Anthony Rapp Adam Pascal Rosario Dawson Jesse L. Martin Wilson Jermaine Heredia,Chris Columbus
1236,Drama Horror Thriller Crime,,10391,sister sister relationship autism mephisto satanism ersatz,en,3.321949,2000,Bless the Child,Kim Basinger Angela Bettis Holliston Coleman Rufus Sewell Christina Ricci,Chuck Russell
1237,Comedy,,8970,new york travel misfortune,en,4.842626,1999,The Out-of-Towners,Steve Martin Goldie Hawn John Cleese Mark McKinney Jessica Cauffiel,Sam Weisman
1238,Fantasy Horror Science Fiction,,9306,monster experiment island mutation genetics,en,13.210898,1996,The Island of Dr. Moreau,Marlon Brando Val Kilmer David Thewlis Fairuza Balk Daniel Rigney,John Frankenheimer
1239,Action Adventure Drama,,11370,loss of family queen power power takeover kingdom,en,3.296933,2001,The Musketeer,Catherine Deneuve Mena Suvari Stephen Rea Tim Roth Justin Chambers,Peter Hyams
1240,Drama,,12184,england sister sister relationship queen kingdom henry viii,en,22.939557,2008,The Other Boleyn Girl,Natalie Portman Scarlett Johansson Eric Bana Jim Sturgess Kristin Scott Thomas,Justin Chadwick
1241,Drama Romance,,1921,workaholic dogsitter,en,19.372805,2001,Sweet November,Keanu Reeves Charlize Theron Jason Isaacs Greg Germann Lauren Graham,Pat O'Connor
1242,Horror,http://www.thereapingmovie.com,1683,river miracle bible louisiana frog,en,13.445697,2007,The Reaping,Hilary Swank David Morrissey Idris Elba AnnaSophia Robb Stephen Rea,Stephen Hopkins
1243,Drama Crime,,203,epilepsy protection money secret love money redemption,en,17.002096,1973,Mean Streets,Harvey Keitel Robert De Niro David Proval Amy Robinson Richard Romanus,Martin Scorsese
1244,Comedy War,,11858,vietnam veteran commercial advertising expert kaserne stau,en,4.516953,1994,Renaissance Man,Danny DeVito Mark Wahlberg Gregory Hines James Remar Ed Begley Jr.,Penny Marshall
1245,Action Thriller Crime Drama,http://www.colombiana-movie.com/,62835,street gang uncle female assassin witness to murder,en,33.785969,2011,Colombiana,Zoe Saldana Cliff Curtis Callum Blue Michael Vartan Lennie James,Olivier Megaton
1246,Fantasy Animation Drama Romance Family,,18937,,en,16.059443,1998,Quest for Camelot,Jessalyn Gilsig Cary Elwes Gary Oldman Don Rickles Jane Seymour,Frederik Du Chau
1247,Crime Drama Mystery,,13536,murder homicide detective,en,3.476966,2002,City By The Sea,Robert De Niro James Franco Frances McDormand Eliza Dushku George Dzundza,Michael Caton-Jones
1248,Drama Romance,,15556,blind massage therapist,en,5.778724,1999,At First Sight,Val Kilmer Mira Sorvino Kelly McGillis Steven Weber Bruce Davison,Irwin Winkler
1249,Action,,10718,ex-girlfriend drug dealer gang motorcyclist,en,7.360793,2004,Torque,Martin Henderson Ice Cube Monet Mazur Adam Scott Matt Schulze,Joseph Kahn
1250,Drama Thriller,,11062,corruption undercover war on drugs mayor drug dealer,en,3.621837,1996,City Hall,Al Pacino John Cusack Bridget Fonda Danny Aiello Martin Landau,Harold Becker
1251,Drama,,10802,dancing female nudity go-go dancer spanner seduction,en,14.513305,1995,Showgirls,Elizabeth Berkley Kyle MacLachlan Gina Gershon Glenn Plummer Robert Davi,Paul Verhoeven
1252,Drama History,http://www.sonypictures.com/homevideo/marieantoinette/index.html,1887,shoe voice over rite theatre audience bride and groom,en,22.364549,2006,Marie Antoinette,Kirsten Dunst Jason Schwartzman Judy Davis Rip Torn Rose Byrne,Sofia Coppola
1253,Action Crime Drama Thriller,,6071,hoodlum,en,6.90894,1995,Kiss of Death,David Caruso Samuel L. Jackson Nicolas Cage Helen Hunt Kathryn Erbe,Barbet Schroeder
1254,Action Drama Thriller Crime,,10461,ritual pornographic video car crash dvd,en,4.494788,2000,Get Carter,Sylvester Stallone Miranda Richardson Rachael Leigh Cook Mickey Rourke Johnny Strong,Stephen T. Kay
1255,Thriller Drama,,80278,thailand tsunami family vacation tidal wave catastrophe,en,47.559928,2012,The Impossible,Naomi Watts Ewan McGregor Tom Holland Samuel Joslin Oaklee Pendergast,Juan Antonio Bayona
1256,Action Adventure Comedy,,12704,wilderness sahara beautiful woman singer escape,en,2.410546,1987,Ishtar,Warren Beatty Dustin Hoffman Isabelle Adjani Charles Grodin Jack Weston,Elaine May
1257,Adventure Animation Comedy Family,http://www.foxsearchlight.com/fantasticmrfox/,10315,fox tree peasant revenge cider,en,41.258956,2009,Fantastic Mr. Fox,George Clooney Meryl Streep Jason Schwartzman Bill Murray Wallace Wolodarsky,Wes Anderson
1258,Comedy Drama Romance,,16643,,en,8.980846,2002,Life or Something Like It,Angelina Jolie Edward Burns Tony Shalhoub Christian Kane Melissa Errico,Stephen Herek
1259,Comedy Fantasy Science Fiction,http://www.theofficialjohncarpenter.com/memoirs-of-an-invisible-man/,2687,invisible man,en,7.222985,1992,Memoirs of an Invisible Man,Chevy Chase Daryl Hannah Sam Neill Michael McKean Stephen Tobolowsky,John Carpenter
1260,Comedy Romance,http://www.die-fabelhafte-welt-der-amelie.de,194,paris love triangle ghost train sex-shop shyness,fr,73.720244,2001,Amélie,Audrey Tautou Mathieu Kassovitz Rufus Jamel Debbouze Claire Maurier,Jean-Pierre Jeunet
1261,Comedy,,11025,twin sister music video geek vacation university,en,10.0403,2004,New York Minute,Ashley Olsen Mary-Kate Olsen Eugene Levy Andy Richter Riley Smith,Dennie Gordon
1262,Comedy,,8849,new york cheating flirt lover older woman seduces younger guy,en,15.219263,2004,Alfie,Jude Law Marisa Tomei Omar Epps Jane Krakowski Ren\u00e9e Taylor,Charles Shyer
1263,Adventure Drama Romance,http://www.everybodyloveswhales.com/,78698,whale alaska aftercreditsstinger duringcreditsstinger greenpeace,en,8.303696,2012,Big Miracle,Drew Barrymore John Krasinski Kristen Bell Vinessa Shaw Dermot Mulroney,Ken Kwapis
1264,Drama Mystery,,30943,kidnapping boy reunion,en,4.746085,1999,The Deep End of the Ocean,Michelle Pfeiffer Treat Williams Whoopi Goldberg Jonathan Jackson Cory Buck,Ulu Grosbard
1265,Horror Thriller,,9544,race against time psychopath homepage cop doctor,en,6.756886,2002,FearDotCom,Stephen Dorff Natascha McElhone Stephen Rea Udo Kier Amelia Curtis,William Malone
1266,Adventure Fantasy Action Thriller,,24418,vampire spider wolfman stew best friend,en,16.424807,2009,Cirque du Freak: The Vampire's Assistant,John C. Reilly Josh Hutcherson Chris Massoglia Patrick Fugit Salma Hayek,Paul Weitz
1267,Action Comedy Thriller,,7288,,en,15.590001,2003,Duplex,Ben Stiller Drew Barrymore Eileen Essell Amber Valletta Justin Theroux,Danny DeVito
1268,Comedy Music,,14655,duringcreditsstinger,en,5.483671,2008,Soul Men,Samuel L. Jackson Bernie Mac Sharon Leal Adam Herschman Sean Hayes,Malcolm D. Lee
1269,Action Drama Thriller,,24575,,en,1.630541,1980,Raise the Titanic,M. Emmet Walsh Richard Jordan David Selby Anne Archer Alec Guinness,Jerry Jameson
1270,Action Science Fiction,,10366,super computer computer program destiny timebomb,en,14.566664,1999,Universal Soldier: The Return,Jean-Claude Van Damme Kiana Tom Bill Goldberg Michael Jai White Heidi Schanz,Mic Rodgers
1271,Action Horror Mystery Science Fiction Thriller,http://www.pandorummovie.com/,19898,dystopia spaceship survival mission,en,28.353517,2009,Pandorum,Ben Foster Dennis Quaid Cam Gigandet Antje Traue Cung Le,Christian Alvart
1272,Action Science Fiction Thriller,,4965,android alien,en,9.579975,2001,Impostor,Gary Sinise Madeleine Stowe Mekhi Phifer Vincent D'Onofrio Tony Shalhoub,Gary Fleder
1273,Action Adventure Drama Thriller,,15074,ski,en,2.911819,2002,Extreme Ops,Devon Sawa Bridgette Wilson Rufus Sewell Rupert Graves Heino Ferch,Christian Duguay
1274,Comedy Fantasy Science Fiction,,56715,time travel remake alternate history dragon remake of french film,en,10.844882,2001,Just Visiting,Jean Reno Christina Applegate Christian Clavier Matt Ross Tara Reid,Jean-Marie Poir\u00e9
1275,Science Fiction Thriller,,1272,saving the world bomb sun space marine sunlight,en,51.502884,2007,Sunshine,Cillian Murphy Rose Byrne Chris Evans Michelle Yeoh Cliff Curtis,Danny Boyle
1276,Drama Comedy,http://www.thousandwordsmovie.com/,72358,liar literary agent,en,13.119133,2012,A Thousand Words,Eddie Murphy Allison Janney Cliff Curtis Clark Duke Kerry Washington,Brian Robbins
1277,Adventure Fantasy Animation Comedy Science Fiction,http://www.delgo.com/,20542,,en,4.238482,2008,Delgo,Freddie Prinze Jr. Jennifer Love Hewitt Val Kilmer Anne Bancroft Chris Kattan,Marc F. Adler
1278,Action Drama Crime,,266396,assassin hitman,en,26.935458,2015,The Gunman,Sean Penn Jasmine Trinca Javier Bardem Ray Winstone Mark Rylance,Pierre Morel
1279,Adventure Action Family,,9978,england secret intelligence service child hero wretch teen spy,en,16.282962,2006,Stormbreaker,Alex Pettyfer Sarah Bolger Ewan McGregor Robbie Coltrane Stephen Fry,Geoffrey Sax
1280,Thriller Drama Mystery,http://www.disturbia.com/,8271,kidnapping young people,en,31.690456,2007,Disturbia,Shia LaBeouf Sarah Roemer Carrie-Anne Moss David Morse Aaron Yoo,D.J. Caruso
1281,Action Crime Thriller Drama,,10428,female nudity hacker nudity computer virus virtual reality,en,17.842246,1995,Hackers,Jonny Lee Miller Angelina Jolie Jesse Bradford Matthew Lillard Renoly Santiago,Iain Softley
1282,Action Adventure Thriller Drama,http://www.thehuntingpartymovie.com/,5353,civil war spy hotel journalist journalism,en,8.048305,2007,The Hunting Party,Richard Gere Terrence Howard James Brolin Diane Kruger Jesse Eisenberg,Richard Shepard
1283,Comedy Drama,,11934,suicide new york corruption journalist inventor,en,14.188982,1994,The Hudsucker Proxy,Tim Robbins Jennifer Jason Leigh Paul Newman Charles Durning John Mahoney,Joel Coen
1284,Action Drama History,,14392,assassin general dynasty brother blood brother,zh,6.884467,2007,The Warlords,Jet Li Andy Lau Takeshi Kaneshiro Xu Jinglei Wei Zongwan,Peter Chan
1285,Action History War,,19495,,en,8.212018,2005,Nomad: The Warrior,Kuno Becker Jay Hernandez Jason Scott Lee Doskhan Zholzhaksynov Ayanat Ksenbai,Sergei Bodrov Jr.
1286,Action Science Fiction Drama,http://snowpiercer-film.com/,110415,father son relationship child labour brothel winter allegory,ko,64.238688,2013,Snowpiercer,Chris Evans Song Kang-ho Ed Harris John Hurt Tilda Swinton,Bong Joon-ho
1287,Adventure Animation Comedy Family Fantasy,,77459,monster cgi 3d paris france,fr,17.375562,2011,A Monster in Paris,Vanessa Paradis Mathieu Chedid Gad Elmaleh Fran\u00e7ois Cluzet Ludivine Sagnier,Bibo Bergeron
1288,Action Comedy,,26486,,en,6.7698,2004,The Last Shot,Matthew Broderick Alec Baldwin Toni Collette Calista Flockhart Ray Liotta,Jeff Nathanson
1289,Fantasy Action Thriller,,9495,halloween arson detroit,en,44.690107,1994,The Crow,Brandon Lee Rochelle Davis Ernie Hudson Michael Wincott Bai Ling,Alex Proyas
1290,Action Adventure War History,http://baahubali.com/,256040,kingdom war bollywood medieval india ancient india,te,16.254032,2015,Baahubali: The Beginning,Prabhas Rana Daggubati Tamanna Bhatia Anushka Shetty Ramya Krishnan,S.S. Rajamouli
1291,Drama Romance Fantasy,,24420,chicago sex based on novel nudity diary,en,37.492928,2009,The Time Traveler's Wife,Eric Bana Rachel McAdams Michelle Nolden Arliss Howard Ron Livingston,Robert Schwentke
1292,Comedy,http://www.becauseisaidsomovie.com/index_intro.htm,1257,mother guitar sister sister relationship profession new love,en,18.678415,2007,Because I Said So,Diane Keaton Mandy Moore Gabriel Macht Tom Everett Scott Lauren Graham,Michael Lehmann
1293,Animation Comedy Family,http://movies.disney.com/frankenweenie-2012,62214,shyness stop motion black and white retro dog,en,27.908783,2012,Frankenweenie,Charlie Tahan Catherine O'Hara Martin Short Martin Landau Atticus Shaffer,Tim Burton
1294,Science Fiction Action Adventure Thriller,,16320,martial arts telepathy dystopia spaceship fugitive,en,45.388937,2005,Serenity,Nathan Fillion Gina Torres Alan Tudyk Morena Baccarin Adam Baldwin,Joss Whedon
1295,Romance Drama,,8842,biography sport,en,2.817364,2004,Against the Ropes,Meg Ryan Tony Shalhoub Joe Cortese Kerry Washington Omar Epps,Charles S. Dutton
1296,Comedy Action Adventure Fantasy Science Fiction,,9531,saving the world dc comics super computer identity crisis loss of powers,en,22.164202,1983,Superman III,Christopher Reeve Richard Pryor Jackie Cooper Marc McClure Annette O'Toole,Richard Lester
1297,Comedy,,64807,father son relationship sport rivalry elderly elderly man,en,21.362949,2013,Grudge Match,Robert De Niro Sylvester Stallone Alan Arkin Jon Bernthal Kevin Hart,Peter Segal
1298,Adventure Drama Action,http://www.redclifffilm.com,12289,flaming arrow chinese history strategy carrier pigeon spear throwing,zh,14.8375,2008,Red Cliff,Chang Chen Hu Jun Tony Leung Chiu-Wai Takeshi Kaneshiro Song Jia,John Woo
1299,Comedy Romance,,11529,new york marriage proposal alabama career woman fashion designer,en,18.256028,2002,Sweet Home Alabama,Reese Witherspoon Josh Lucas Patrick Dempsey Candice Bergen Rhona Mitra,Andy Tennant
1300,Comedy Romance,http://www.thetruthisntpretty.com/,20943,romantic comedy romance tv morning show relationship opposites attract,en,22.332927,2009,The Ugly Truth,Katherine Heigl Gerard Butler Eric Winter Bree Turner Nick Searcy,Robert Luketic
1301,Comedy Family,,9099,gulf war u.s. army based on tv series military spoof,en,5.417787,1996,Sgt. Bilko,Steve Martin Dan Aykroyd Phil Hartman Glenne Headly Daryl Mitchell,Jonathan Lynn
1302,Action Adventure Family,,9488,spy experiment island secret organization wretch,en,24.085144,2002,Spy Kids 2: The Island of Lost Dreams,Antonio Banderas Carla Gugino Alexa PenaVega Daryl Sabara Steve Buscemi,Robert Rodriguez
1303,Science Fiction Action Adventure Thriller,,193,based on tv series death exploding planet mountain cabin solar system,en,14.779041,1994,Star Trek: Generations,Patrick Stewart Jonathan Frakes Brent Spiner LeVar Burton Michael Dorn,David Carson
1304,Action Drama History,,44865,martial arts kung fu biography kung fu master,zh,19.947265,2013,The Grandmaster,Tony Leung Chiu-Wai Zhang Ziyi Song Hye-kyo Chang Chen Zhao Benshan,Wong Kar-wai
1305,Drama Romance,http://waterforelephantsfilm.com/,55787,clown elephant trainer veterinary,en,16.801218,2011,Water for Elephants,Robert Pattinson Reese Witherspoon Christoph Waltz Tatum Etheridge Hal Holbrook,Francis Lawrence
1306,Adventure Family Fantasy Animation,,257932,,zh,5.057695,2014,Dragon Nest: Warriors' Dawn,Carrie-Anne Moss Lucas Grabeel Blythe Auffarth Charlie Schlatter Simon Jaglom,Yuefeng Song
1307,Drama,,10400,prison boxer boxing match boxing school biography,en,20.825781,1999,The Hurricane,Denzel Washington Vicellous Reon Shannon Deborah Kara Unger Liev Schreiber John Hannah,Norman Jewison
1308,Drama Thriller,http://www.sonypictures.com/movies/enough/,1957,waitress wife husband relationship violent husband self-defense violence against women,en,11.500783,2002,Enough,Jennifer Lopez Billy Campbell Juliette Lewis Dan Futterman Fred Ward,Michael Apted
1309,Crime Comedy Romance,,10833,cons and scams,en,13.932203,2001,Heartbreakers,Sigourney Weaver Jennifer Love Hewitt Gene Hackman Ray Liotta Jason Lee,David Mirkin
1310,Action Comedy Family,,256961,shopping mall las vegas security guard,en,41.258487,2015,Paul Blart: Mall Cop 2,Kevin James Raini Rodriguez Eduardo Ver\u00e1stegui Daniella Alonso Neal McDonough,Andy Fickman
1311,Drama Romance Thriller,http://angeleyesmovie.warnerbros.com/index_noflash.html,5852,car crash police officer,en,6.454634,2001,Angel Eyes,Jennifer Lopez Jim Caviezel Jeremy Sisto Terrence Howard S\u00f4nia Braga,Luis Mandoki
1312,Comedy,,12312,profession karate daughter bef\u00f6rderung ex-wife,en,5.257009,2001,Joe Somebody,Tim Allen Julie Bowen Kelly Lynch Greg Germann Jim Belushi,John Pasquin
1313,Horror Mystery Thriller,,622,new york obsession passion for collection southern france mephisto,en,30.359164,1999,The Ninth Gate,Johnny Depp Frank Langella Lena Olin Emmanuelle Seigner Barbara Jefford,Roman Polanski
1314,Drama Thriller,,11306,new york surgeon british suspense morgue,en,3.426555,1996,Extreme Measures,Hugh Grant Gene Hackman Sarah Jessica Parker David Morse Bill Nunn,Michael Apted
1315,Music Drama Comedy,,12508,rock star success discontentedness and displeasedness heavy metal relationship problems,en,11.60815,2001,Rock Star,Mark Wahlberg Jennifer Aniston Jason Flemyng Dominic West Jason Bonham,Stephen Herek
1316,Drama,http://www.weareallprecious.com/,25793,aids illiteracy song unwillingly pregnant balloon,en,18.664624,2009,Precious,Gabourey Sidibe Mo'Nique Paula Patton Mariah Carey Lenny Kravitz,Lee Daniels
1317,Action Drama,,10534,sailing trip diary sailing survival coming of age,en,10.047579,1996,White Squall,Jeff Bridges Caroline Goodall John Savage Scott Wolf Jeremy Sisto,Ridley Scott
1318,Horror Mystery Science Fiction,http://www.theofficialjohncarpenter.com/the-thing/,1091,ice space marine paranoia snow storm norwegian,en,52.731379,1982,The Thing,Kurt Russell Keith David Wilford Brimley Donald Moffat Richard Dysart,John Carpenter
1319,Science Fiction Action Thriller,http://www.riddick-movie.com,87421,dystopia revenge alien planet imax,en,46.630062,2013,Riddick,Vin Diesel Karl Urban Katee Sackhoff Jordi Moll\u00e0 Bokeem Woodbine,David Twohy
1320,Action Adventure Mystery Thriller,,10871,loss of son serial killer train,en,4.131546,1997,Switchback,Dennis Quaid Danny Glover R. Lee Ermey Claudia Stedelin Brent Hinkley,Jeb Stuart
1321,Action Western,,13503,underwear tiger racial segregation,en,5.641978,2001,Texas Rangers,James Van Der Beek Rachael Leigh Cook Ashton Kutcher Dylan McDermott Usher Raymond,Steve Miner
1322,Adventure Family Fantasy,http://www.cityofember.com/,13600,underground world mayor adventure post-apocalyptic dystopia,en,23.465539,2008,City of Ember,Saoirse Ronan Harry Treadaway Mary Kay Place Bill Murray Martin Landau,Gil Kenan
1323,Drama,,68722,post traumatic stress  disorder sexual obsession postwar period drifter alcoholic,en,25.682509,2012,The Master,Joaquin Phoenix Philip Seymour Hoffman Amy Adams Laura Dern Jesse Plemons,Paul Thomas Anderson
1324,Adventure Action Comedy Romance,,14324,,en,6.760922,2007,Virgin Territory,Ryan Cartwright Hayden Christensen Mischa Barton Jay Villiers Simone Spinazz\u00e8,David Leland
1325,Drama,,14325,american football college biography sport syracuse university,en,3.87823,2008,The Express,Rob Brown Dennis Quaid Darrin Henson Charles S. Dutton Aunjanue Ellis,Gary Fleder
1326,Adventure Science Fiction,https://www.facebook.com/5thWaveMovie/,299687,based on novel dystopia alien alien invasion human subjugation,en,57.889964,2016,The 5th Wave,Chlo\u00eb Grace Moretz Nick Robinson Alex Roe Maika Monroe Zackary Arthur,J Blakeson
1327,Drama,http://creedthemovie.com/,312221,underdog sport spin off underground fighting motivational speaker,en,57.773583,2015,Creed,Michael B. Jordan Sylvester Stallone Graham McTavish Tessa Thompson Phylicia Rash\u0101d,Ryan Coogler
1328,Crime Drama Thriller,http://thetownmovie.warnerbros.com/,23168,based on novel money laundering ambulance boston massachusetts,en,24.218358,2010,The Town,Ben Affleck Rebecca Hall Jeremy Renner Jon Hamm Blake Lively,Ben Affleck
